OBJECTID,Record_ID,Year_Obs,Source,Mangement,LOCDETAILS,GENERALCOMS,x,y
38,4916714,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
39,4916490,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92998.649600000004284,218301.916399999987334
40,4916492,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
41,4916495,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
42,4916496,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
43,4916497,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
44,4916500,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
45,4916502,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
46,4916503,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
47,4916505,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
48,4916506,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
49,4916509,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
50,4916510,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
51,4916511,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
52,4916513,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
53,4916514,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
54,4916517,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
55,4916520,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
56,4916522,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
57,4916719,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
58,4916720,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
59,4916721,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
60,4916722,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
61,4916723,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92942.722099999999045,218191.149499999999534
62,4917149,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92707.533899999994901,217315.095299999986310
63,4917150,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92707.533899999994901,217315.095299999986310
64,4916523,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
65,4916542,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
66,4916526,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
67,4916527,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
68,4916531,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
69,4916532,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
70,4916533,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
71,4916534,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
72,4916538,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
73,4916539,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
74,4916540,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
75,4916541,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
76,4916543,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
77,4916544,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
78,4916545,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
79,4916548,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
80,4916549,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
81,4916552,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
82,4916553,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
83,4916555,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
84,4916556,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-119240.993799999996554,204509.002199999988079
85,4916585,2012,USFS,STANISLAUS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-11090.509400000000824,-12870.637600000000020
86,4916586,2012,USFS,STANISLAUS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-11090.509400000000824,-12870.637600000000020
87,4916743,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93010.027600000001257,218322.517300000006799
88,4917171,2016,USFS,TAHOE NATIONAL FOREST,NA,USFWS Service California Red-legged Frog Survey Protocol (2005),-77531.248300000006566,164509.324499999987893
89,4916751,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92666.684399999998277,217672.126900000002934
90,4916752,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92666.684399999998277,217672.126900000002934
91,4916754,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92666.684399999998277,217672.126900000002934
92,4916755,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92666.684399999998277,217672.126900000002934
93,4917180,2017,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77771.764800000004470,135326.919800000003306
94,4917181,2017,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77771.764800000004470,135326.919800000003306
95,4917182,2017,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-77771.764800000004470,135326.919800000003306
96,4916654,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
97,4916655,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
98,4916656,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
99,4916657,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
100,4916658,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
101,4916659,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
102,4916661,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
103,4916662,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
104,4916663,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
105,4916665,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
106,4917187,2017,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-78002.332500000004075,135684.708400000003166
107,4917188,2017,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-78002.332500000004075,135684.708400000003166
108,4917189,2017,USFS,TAHOE NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-78002.332500000004075,135684.708400000003166
109,4916666,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
110,4916667,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
111,4916670,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
112,4916671,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
113,4916672,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
114,4916674,2015,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-119229.503700000001118,204505.753999999986263
115,4916676,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93460.733999999996740,216675.570299999992130
116,4916677,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93460.733999999996740,216675.570299999992130
117,4916792,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92681.511700000002747,217670.627299999992829
118,4916793,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92681.511700000002747,217670.627299999992829
119,4916679,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93460.733999999996740,216675.570299999992130
120,4916680,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93460.733999999996740,216675.570299999992130
121,4922928,2011,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-337937.163699999975506,428775.145699999993667
122,4922929,2011,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-337937.163699999975506,428775.145699999993667
123,4922930,2011,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-337937.163699999975506,428775.145699999993667
124,4922890,2012,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-317130.254499999980908,436499.374499999976251
125,4923098,2011,USFS,SIX RIVERS NATIONAL FOREST,NA,R6 Pacific Northwest Stream Inventory Handbook  v. 2.9(2009),-320215.429799999983516,436322.906900000001770
126,4927117,2016,USFS,SHASTA TRINITY NATIONAL FOREST,NA,R5 Stream Condition Inventory  FINAL v. 5.0 (2005),-257632.285299999988638,310293.597300000023097
127,4934795,2016,USFS,SHASTA TRINITY NATIONAL FOREST,NA,SCI05,-248825.530700000002980,282951.036800000001676
128,4943828,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93036.085999999995693,217479.575899999996182
129,4943827,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93036.085999999995693,217479.575899999996182
130,4943837,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86957.535900000002584,215117.229300000006333
131,4943838,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86957.535900000002584,215117.229300000006333
132,4943839,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86957.535900000002584,215117.229300000006333
133,4943840,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86957.535900000002584,215117.229300000006333
134,4943866,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-94510.325800000005984,218791.841600000014296
135,4943870,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93346.743000000002212,217768.284000000014203
136,4943871,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-93346.743000000002212,217768.284000000014203
137,4943880,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92698.251000000003842,213695.451299999986077
138,4943885,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86857.118000000002212,215126.334000000002561
139,4944451,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
140,4944452,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
141,4944453,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
142,4944454,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
143,4944455,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
144,4944456,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
145,4944457,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
146,4944458,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86865.736499999999069,215123.934600000007777
147,4944461,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92334.122199999997974,216083.611299999989569
148,4944462,2014,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92334.122199999997974,216083.611299999989569
149,4943734,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-85325.148799999995390,181050.667300000000978
150,4943735,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-85325.148799999995390,181050.667300000000978
151,4943577,2016,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-94074.992800000007264,218282.149399999994785
152,4943589,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
153,4943590,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
154,4943591,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
155,4943592,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
156,4943595,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
157,4943596,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
158,4943597,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
159,4943598,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
160,4943599,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
161,4943600,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-92339.680399999997462,216048.838699999992969
162,4943802,2016,USFS,PLUMAS NATIONAL FOREST,NA,PG&E Foothill Yellow-Legged Frog Visual Encounters Protocol (2002),-120702.275299999993877,202675.543100000009872
163,4943619,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88650.105100000000675,215357.119700000010198
164,4943620,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88650.105100000000675,215357.119700000010198
165,4943621,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88650.105100000000675,215357.119700000010198
166,4943622,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88650.105100000000675,215357.119700000010198
167,4943623,2017,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-88650.105100000000675,215357.119700000010198
168,4943818,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86867.765100000004168,215147.132899999996880
169,4943819,2015,USFS,PLUMAS NATIONAL FOREST,NA,Aquatic Amphibian Survey Protocol (Fellers & Freel 1995),-86867.765100000004168,215147.132899999996880
